id,title,body,category,priority
121,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
122,Pagamento non registrato,Serve chiarimento su una fattura scaduta,Amministrazione,media
123,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
124,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
125,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
126,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
127,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
128,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
129,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
130,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
131,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
132,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
133,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
134,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
135,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
136,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
137,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
138,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
139,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
140,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
141,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
142,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
143,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
144,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
145,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
146,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
147,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
148,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
149,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
150,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
151,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
152,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
153,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
154,Pagamento non registrato,Serve chiarimento su una fattura scaduta,Amministrazione,media
155,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
156,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
157,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
158,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
159,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
160,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
161,Richiesta offerta,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
162,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
163,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
164,Sistema bloccato,Impossibile completare l’operazione,Tecnico,bassa
165,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
166,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
167,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
168,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
169,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
170,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
171,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
172,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
173,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
174,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
175,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
176,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
177,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
178,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
179,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
180,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
181,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
182,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
183,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
184,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
185,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
186,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
187,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
188,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
189,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
190,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
191,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
192,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
193,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
194,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
195,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
196,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
197,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
198,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
199,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
200,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
201,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
202,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
203,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
204,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
205,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
206,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
207,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
208,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
209,Pagamento non registrato,Serve chiarimento su una fattura scaduta,Amministrazione,media
210,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
211,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
212,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
213,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
214,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
215,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
216,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
217,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
218,Richiesta offerta,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
219,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
220,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
221,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
222,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
223,Problema accesso,Applicazione bloccante dopo l’accesso,Tecnico,alta
224,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
225,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
226,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
227,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
228,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
229,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
230,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
231,Richiesta offerta,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
232,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
233,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
234,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
235,Sistema bloccato,Impossibile completare l’operazione,Tecnico,bassa
236,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
237,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
238,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
239,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
240,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
241,Sistema bloccato,Impossibile completare l’operazione,Tecnico,bassa
242,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
243,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
244,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
245,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
246,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
247,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
248,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
249,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
250,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
251,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
252,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
253,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
254,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
255,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
256,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
257,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
258,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
259,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
260,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
261,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
262,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
263,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
264,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
265,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
266,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
267,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
268,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
269,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
270,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
271,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
272,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
273,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
274,Richiesta offerta,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
275,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
276,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
277,Pagamento non registrato,Serve chiarimento su una fattura scaduta,Amministrazione,media
278,Problema accesso,Applicazione bloccante dopo l’accesso,Tecnico,alta
279,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
280,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
281,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
282,Problema accesso,Applicazione bloccante dopo l’accesso,Tecnico,alta
283,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
284,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
285,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
286,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
287,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
288,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
289,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
290,Pagamento non registrato,Serve chiarimento su una fattura scaduta,Amministrazione,media
291,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
292,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
293,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
294,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
295,Sistema bloccato,Impossibile completare l’operazione,Tecnico,bassa
296,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
297,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
298,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
299,Sistema bloccato,Impossibile completare l’operazione,Tecnico,bassa
